"","...1","Identifier","plate","adaptor_plate_well_added","...5","Taxon","Collector","Sample Number","Date","Coord 1","Coord 2","Datum","Location","Location Code","Elevation (ft asl)","Voucher","Other Documentation","Other Comments","Extractions","ng/uL","taxa_loc"
"1",1,"PEAB2_01","Plate1","G9",1,"Penstemon absarokensis","Amy & Kevin Taylor","Sweetwater Cr 1","38529","N44 28 16.5","W109 37 38.3","NA","WY, Absaroka Mts ca 28 air mi W of Cody","LOC1","6400-6600","No voucher","paper with detailed directions, habitat, assoc. spp; letter with some info; sketch of site locations","T52N R106W Sec 16 NW4 SE4","37336","11.1 (p.32)","Penstemon absarokensis LOC1"
"2",2,"PEAB2_02","Plate1","G10",2,"Penstemon absarokensis","Amy & Kevin Taylor","Sweetwater Cr 2","38529","N44 28 16.5","W109 37 38.3","NA","WY, Absaroka Mts ca 28 air mi W of Cody","LOC1","6400-6600","No voucher","paper with detailed directions, habitat, assoc. spp; letter with some info; sketch of site locations","T52N R106W Sec 16 NW4 SE4","37924","6.9 (p.86 BJ)","Penstemon absarokensis LOC1"
"3",3,"PEAB2_03","Plate1","G11",3,"Penstemon absarokensis","Amy & Kevin Taylor","Sweetwater Cr 3","38529","N44 28 16.5","W109 37 38.3","NA","WY, Absaroka Mts ca 28 air mi W of Cody","LOC1","6400-6600","No voucher","paper with detailed directions, habitat, assoc. spp; letter with some info; sketch of site locations","T52N R106W Sec 16 NW4 SE4","37924","9.9 (p.86 BJ)","Penstemon absarokensis LOC1"
"4",4,"PEAB2_04","Plate1","G12",4,"Penstemon absarokensis","Amy & Kevin Taylor","Sweetwater Cr 4","38529","N44 28 16.5","W109 37 38.3","NA","WY, Absaroka Mts ca 28 air mi W of Cody","LOC1","6400-6600","No voucher","paper with detailed directions, habitat, assoc. spp; letter with some info; sketch of site locations","T52N R106W Sec 16 NW4 SE4","37924","8.5 (p.86 BJ)","Penstemon absarokensis LOC1"
"5",5,"PEAB2_05","Plate1","H1",5,"Penstemon absarokensis","Amy & Kevin Taylor","Sweetwater Cr 5","38529","N44 28 16.5","W109 37 38.3","NA","WY, Absaroka Mts ca 28 air mi W of Cody","LOC1","6400-6600","No voucher","paper with detailed directions, habitat, assoc. spp; letter with some info; sketch of site locations","T52N R106W Sec 16 NW4 SE4","37924","11.8 (p.86 BJ)","Penstemon absarokensis LOC1"
"6",6,"PEAB2_06","Plate1","H2",6,"Penstemon absarokensis","Amy & Kevin Taylor","Sweetwater Cr 6","38529","N44 28 16.5","W109 37 38.3","NA","WY, Absaroka Mts ca 28 air mi W of Cody","LOC1","6400-6600","No voucher","paper with detailed directions, habitat, assoc. spp; letter with some info; sketch of site locations","T52N R106W Sec 16 NW4 SE4","37924","8.7 (p.86 BJ)","Penstemon absarokensis LOC1"
"7",7,"PEAB2_07","Plate1","H3",7,"Penstemon absarokensis","Amy & Kevin Taylor","Sweetwater Cr 7","38529","N44 28 16.5","W109 37 38.3","NA","WY, Absaroka Mts ca 28 air mi W of Cody","LOC1","6400-6600","No voucher","paper with detailed directions, habitat, assoc. spp; letter with some info; sketch of site locations","T52N R106W Sec 16 NW4 SE4","37924","9.9 (p.86 BJ)","Penstemon absarokensis LOC1"
"8",8,"PEAB2_08","Plate1","H4",8,"Penstemon absarokensis","Amy & Kevin Taylor","Sweetwater Cr 8","38529","N44 28 16.5","W109 37 38.3","NA","WY, Absaroka Mts ca 28 air mi W of Cody","LOC1","6400-6600","No voucher","paper with detailed directions, habitat, assoc. spp; letter with some info; sketch of site locations","T52N R106W Sec 16 NW4 SE4","38166","not listed, 7/17/2018: 6.7 (p.118 BJ)","Penstemon absarokensis LOC1"
"9",9,"PEAB2_09","Plate1","H5",9,"Penstemon absarokensis","Amy & Kevin Taylor","Sweetwater Cr 9","38529","N44 28 16.5","W109 37 38.3","NA","WY, Absaroka Mts ca 28 air mi W of Cody","LOC1","6400-6600","No voucher","paper with detailed directions, habitat, assoc. spp; letter with some info; sketch of site locations","T52N R106W Sec 16 NW4 SE4","38166","not listed,  5.4 (p.118 BJ) -- 7/17/2018","Penstemon absarokensis LOC1"
"10",10,"PEAB2_10","Plate1","H6",10,"Penstemon absarokensis","Amy & Kevin Taylor","Sweetwater Cr 10","38529","N44 28 16.5","W109 37 38.3","NA","WY, Absaroka Mts ca 28 air mi W of Cody","LOC1","6400-6600","No voucher","paper with detailed directions, habitat, assoc. spp; letter with some info; sketch of site locations","T52N R106W Sec 16 NW4 SE4","38166","not listed, 6.2 p.118 BJ) -- 7/17/2018","Penstemon absarokensis LOC1"
"11",11,"PEAB2_11","Plate1","H7",11,"Penstemon absarokensis","Amy & Kevin Taylor","Sweetwater Cr 11","38529","N44 28 16.5","W109 37 38.3","NA","WY, Absaroka Mts ca 28 air mi W of Cody","LOC1","6400-6600","No voucher","paper with detailed directions, habitat, assoc. spp; letter with some info; sketch of site locations","T52N R106W Sec 16 NW4 SE4","37336","20.0 (p.32)","Penstemon absarokensis LOC1"
"12",12,"PEAB2_12","Plate2","A1",12,"Penstemon absarokensis","Amy & Kevin Taylor","Sweetwater Cr 12","38529","N44 28 16.5","W109 37 38.3","NA","WY, Absaroka Mts ca 28 air mi W of Cody","LOC1","6400-6600","No voucher","paper with detailed directions, habitat, assoc. spp; letter with some info; sketch of site locations","T52N R106W Sec 16 NW4 SE4","38166","not listed, 5.7  (p.118 BJ) -- 7/17/2018","Penstemon absarokensis LOC1"
"13",13,"PEAB2_13","Plate2","A2",13,"Penstemon absarokensis","Amy & Kevin Taylor","Sweetwater Cr 13","38529","N44 28 16.5","W109 37 38.3","NA","WY, Absaroka Mts ca 28 air mi W of Cody","LOC1","6400-6600","No voucher","paper with detailed directions, habitat, assoc. spp; letter with some info; sketch of site locations","T52N R106W Sec 16 NW4 SE4","38166","not listed, 36.8  (p.118 BJ) -- 7/17/2018","Penstemon absarokensis LOC1"
"14",14,"PEAB2_14","Plate2","A3",14,"Penstemon absarokensis","Amy & Kevin Taylor","Sweetwater Cr 14","38529","N44 28 16.5","W109 37 38.3","NA","WY, Absaroka Mts ca 28 air mi W of Cody","LOC1","6400-6600","No voucher","paper with detailed directions, habitat, assoc. spp; letter with some info; sketch of site locations","T52N R106W Sec 16 NW4 SE4","38166","not listed, 5.3 (p.118 BJ) -- 7/17/2018","Penstemon absarokensis LOC1"
"15",15,"PEAB2_15","Plate2","A4",15,"Penstemon absarokensis","Amy & Kevin Taylor","Sweetwater Cr 15","38529","N44 28 16.5","W109 37 38.3","NA","WY, Absaroka Mts ca 28 air mi W of Cody","LOC1","6400-6600","No voucher","paper with detailed directions, habitat, assoc. spp; letter with some info; sketch of site locations","T52N R106W Sec 16 NW4 SE4","38166","not listed, 20.0 (p.118 BJ) -- 7/17/2018","Penstemon absarokensis LOC1"
"16",16,"PEAB2_16","Plate2","A5",16,"Penstemon absarokensis","Amy & Kevin Taylor","Sweetwater Cr 16","38529","N44 28 16.5","W109 37 38.3","NA","WY, Absaroka Mts ca 28 air mi W of Cody","LOC1","6400-6600","No voucher","paper with detailed directions, habitat, assoc. spp; letter with some info; sketch of site locations","T52N R106W Sec 16 NW4 SE4","38166","not listed, 8.0 (p.118 BJ) -- 7/17/2018","Penstemon absarokensis LOC1"
"17",17,"PEAB2_17","Plate2","A6",17,"Penstemon absarokensis","Amy & Kevin Taylor","Sweetwater Cr 17","38529","N44 28 16.5","W109 37 38.3","NA","WY, Absaroka Mts ca 28 air mi W of Cody","LOC1","6400-6600","No voucher","paper with detailed directions, habitat, assoc. spp; letter with some info; sketch of site locations","T52N R106W Sec 16 NW4 SE4","38166","not listed, 8.9 (p.118 BJ) -- 7/17/2018","Penstemon absarokensis LOC1"
"18",18,"PEAB2_25","Plate2","A7",25,"Penstemon absarokensis","Amy & Kevin Taylor","Sweetwater Cr 25","38529","N44 28 16.5","W109 37 38.3","NA","WY, Absaroka Mts ca 28 air mi W of Cody","LOC1","6400-6600","No voucher","paper with detailed directions, habitat, assoc. spp; letter with some info; sketch of site locations","T52N R106W Sec 16 NW4 SE4","37336","4.3 (p.32)","Penstemon absarokensis LOC1"
"19",19,"PEAB2_26","Plate2","A8",26,"Penstemon absarokensis","Amy & Kevin Taylor","Cougar Cr 1","38565","44.419029199999898","-109.62449340000001","NA","WY, Absaroka Mts ca 30 air mi WSW of Cody","LOC2","8100","A. Taylor 9169 (RM)","paper with detailed directions, habitat; letter with some info; sketch of site locations","T51N R106W Sec 4 middle","37336","9.1 (p.32)","Penstemon absarokensis LOC2"
"20",20,"PEAB2_27","Plate2","A9",27,"Penstemon absarokensis","Amy & Kevin Taylor","Cougar Cr 2","38565","44.419029199999898","-109.62449340000001","NA","WY, Absaroka Mts ca 30 air mi WSW of Cody","LOC2","8100","A. Taylor 9169 (RM)","paper with detailed directions, habitat; letter with some info; sketch of site locations","T51N R106W Sec 4 middle","37924","11.3 (p.86 BJ)","Penstemon absarokensis LOC2"
"21",21,"PEAB2_28","Plate2","A10",28,"Penstemon absarokensis","Amy & Kevin Taylor","Cougar Cr 3","38565","44.419029199999898","-109.62449340000001","NA","WY, Absaroka Mts ca 30 air mi WSW of Cody","LOC2","8100","A. Taylor 9169 (RM)","paper with detailed directions, habitat; letter with some info; sketch of site locations","T51N R106W Sec 4 middle","37924","13.8 (p.86 BJ)","Penstemon absarokensis LOC2"
